date,time_idx,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,return_1d,rolling_volatility,unique_id,daily_sentiment,post_count,spike_presence,spike_intensity,has_sentiment,daily_sentiment_mean_3,daily_sentiment_std_3,daily_sentiment_mean_7,daily_sentiment_std_7,daily_sentiment_mean_14,daily_sentiment_std_14,has_spike
3/28/25,38,109.6562042,229872500,2025-02-26 16:20:00-05:00,29,3,4,1,2025,0,0,-0.015794689,0.032869278,NVDA,0.78044492,2,0,0,1,-1,0.0517098,-0.067810416,1.318315152,0.052253455,0.920454536,1
3/31/25,39,108.3663635,299212700,2025-02-26 16:20:00-05:00,32,3,0,1,2025,1,0,-0.011762588,0.032791289,NVDA,0.668590248,1,0,0,1,-0.10977754,1.258964677,0.214941363,1.053006707,0.133163618,0.894566975,1
4/1/25,40,110.1361389,222614000,2025-02-26 16:20:00-05:00,33,4,1,2,2025,0,1,0.016331409,0.027698597,NVDA,,0,0,0,0,0.724517584,0.079093197,0.149678389,0.997220219,0.106424464,0.871776117,0
4/2/25,41,110.406105,220601200,2025-02-26 16:20:00-05:00,34,4,2,2,2025,0,0,0.002451204,0.027736583,NVDA,0.98152788,4,0,0,1,0.724517584,0.079093197,0.149678389,0.997220219,0.244727522,0.819647294,1
4/3/25,42,101.7871933,338769400,2025-02-26 16:20:00-05:00,35,4,3,2,2025,0,0,-0.078065536,0.029534441,NVDA,,0,0,0,0,0.825059064,0.221280322,0.357640762,0.914307846,0.492418507,0.676701388,0
4/4/25,43,94.29813385,532273800,2025-02-26 16:20:00-05:00,36,4,4,2,2025,0,0,-0.073575655,0.033797336,NVDA,,0,0,0,0,0.98152788,0.221280322,0.357640762,0.914307846,0.562764008,0.698612668,0
4/7/25,44,97.62770844,611041300,2025-02-26 16:20:00-05:00,39,4,0,2,2025,0,0,0.035309019,0.035985112,NVDA,0.265538792,3,0,0,1,0.98152788,0.221280322,0.810187683,0.158574791,0.53874168,0.762118223,1
4/8/25,45,96.28788757,476243400,2025-02-26 16:20:00-05:00,40,4,1,2,2025,0,0,-0.013723777,0.034978051,NVDA,,0,0,0,0,0.265538792,0.221280322,0.67402546,0.301537029,0.426746834,0.7408764,0
4/9/25,46,114.3156128,612918300,2025-02-26 16:20:00-05:00,41,4,2,2,2025,0,0,0.187227342,0.064117141,NVDA,-1,1,0,0,1,0.265538792,0.221280322,0.638552306,0.358938438,0.426746834,0.7408764,1
4/10/25,47,107.5564651,437812400,2025-02-26 16:20:00-05:00,42,4,3,2,2025,0,0,-0.059127074,0.06599226,NVDA,,0,0,0,0,-0.367230604,0.894871062,0.082355557,1.003384402,0.116016973,0.895461377,0
4/11/25,48,110.9160385,313417300,2025-02-26 16:20:00-05:00,43,4,4,2,2025,0,0,0.031235439,0.065980317,NVDA,,0,0,0,0,-1,0.894871062,0.082355557,1.003384402,0.116016973,0.895461377,0
4/14/25,49,110.6960678,264705000,2025-02-26 16:20:00-05:00,46,4,0,2,2025,0,0,-0.001983218,0.065982275,NVDA,1,1,0,0,1,-1,0.894871062,-0.367230604,0.894871062,0.116016973,0.895461377,1
4/15/25,50,112.1858826,228966900,2025-02-26 16:20:00-05:00,47,4,1,2,2025,0,0,0.013458606,0.064285476,NVDA,,0,0,0,0,1,0.894871062,0.088512931,1.011683556,0.242300263,0.883086359,0
4/16/25,51,104.4768524,397016900,2025-02-26 16:20:00-05:00,48,4,2,2,2025,0,0,-0.06871658,0.066759965,NVDA,0.556799531,1,0,0,1,1,0.894871062,0.088512931,1.011683556,0.449350307,0.758751716,1
4/17/25,52,101.4772263,292517500,2025-02-26 16:20:00-05:00,49,4,3,2,2025,0,0,-0.028710916,0.067044619,NVDA,,0,0,0,0,0.778399765,0.313390057,0.185599844,1.050400831,0.464700196,0.693831972,0
4/21/25,53,96.89781189,288501100,2025-02-26 16:20:00-05:00,53,4,0,2,2025,0,0,-0.045127508,0.067946079,NVDA,,0,0,0,0,0.556799531,0.313390057,0.185599844,1.050400831,0.412076075,0.744594697,0
4/22/25,54,98.87755585,241004800,2025-02-26 16:20:00-05:00,54,4,1,2,2025,0,0,0.020431256,0.068058148,NVDA,,0,0,0,0,0.556799531,0.313390057,0.778399765,0.313390057,0.360773241,0.820540506,0
