time_idx,date,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,unique_id,daily_sentiment,post_count,spike_presence,spike_intensity
23,2024-07-25,112.2382126,460067000,5/22/24 16:22,63,7,3,3,2024,0,0,0.036716949,-0.01724284,2984.504755,NVDA,0.657279551,1,0,0
24,2024-07-26,113.0179214,293399100,5/22/24 16:22,64,7,4,3,2024,0,0,0.036195616,0.006946911,3005.237844,NVDA,0.263317843,3,0,0
25,2024-07-29,111.5484619,248152100,5/22/24 16:22,67,7,0,3,2024,0,0,0.034922264,-0.013002005,2966.163728,NVDA,0.911557913,1,0,0
26,2024-07-30,103.691391,486833300,5/22/24 16:22,68,7,1,3,2024,0,0,0.03645144,-0.07043639,2757.237864,NVDA,0.922129512,2,0,0
27,2024-07-31,116.9764328,473174200,5/22/24 16:22,69,7,2,3,2024,1,0,0.051725143,0.128120972,3110.497859,NVDA,0.830961446,3,0,0
28,2024-08-01,109.1693573,523462300,5/22/24 16:22,70,8,3,3,2024,0,1,0.053901889,-0.066740585,2902.901414,NVDA,0.463793039,1,0,0
29,2024-08-02,107.230072,482027500,5/22/24 16:22,71,8,4,3,2024,0,0,0.053917153,-0.017764007,2851.334251,NVDA,0.203842163,3,0,0
30,2024-08-05,100.4126129,552842400,5/22/24 16:22,74,8,0,3,2024,0,0,0.05569469,-0.063577866,2670.052506,NVDA,0.14764607,10,1,5.093550691
31,2024-08-06,104.2111969,409012100,5/22/24 16:22,75,8,1,3,2024,0,0,0.055251526,0.037829749,2771.059923,NVDA,0.875887275,2,0,0
32,2024-08-07,98.87319183,411440400,5/22/24 16:22,76,8,2,3,2024,0,0,0.055498046,-0.051222951,2629.118055,NVDA,0.329788187,7,1,2.487688998
33,2024-08-09,104.7110138,290844200,5/22/24 16:22,78,8,4,3,2024,0,0,0.05665662,-0.002095829,2784.350458,NVDA,-1,1,0,0
34,2024-08-12,108.9794159,325559900,5/22/24 16:22,81,8,0,3,2024,0,0,0.0582823,0.04076364,2897.850718,NVDA,-0.047517955,2,0,0
35,2024-08-13,116.0967712,312646700,5/22/24 16:22,82,8,1,3,2024,0,0,0.058401061,0.065309171,3087.106947,NVDA,0.722354174,1,0,0
36,2024-08-16,124.5336304,302589900,5/22/24 16:22,85,8,4,3,2024,0,0,0.058694343,0.013999679,3311.449848,NVDA,1,1,0,0
37,2024-08-19,129.9516144,318333600,5/22/24 16:22,88,8,0,3,2024,0,0,0.054512149,0.043506192,3455.51842,NVDA,1,2,0,0
38,2024-08-20,127.2026443,300087400,5/22/24 16:22,89,8,1,3,2024,0,0,0.04500398,-0.021153797,3382.421086,NVDA,0.545826316,1,0,0
39,2024-08-22,123.6939392,376189100,5/22/24 16:22,91,8,3,3,2024,0,0,0.041135568,-0.037042889,3289.121782,NVDA,1,1,0,0
40,2024-08-23,129.3218384,323230300,5/22/24 16:22,92,8,4,3,2024,0,0,0.035913363,0.045498585,3438.772168,NVDA,0.839531243,1,0,0
41,2024-08-26,126.412941,331964700,5/22/24 16:22,95,8,0,3,2024,0,0,0.037059342,-0.022493474,3361.422236,NVDA,0.827709973,2,0,0
42,2024-08-27,128.2522583,303134600,5/22/24 16:22,96,8,1,3,2024,0,0,0.031892111,0.014550071,3410.331169,NVDA,0.961473028,3,0,0
43,2024-08-28,125.5632553,448101100,5/22/24 16:22,97,8,2,3,2024,0,0,0.031116077,-0.020966516,3338.828407,NVDA,0.420057809,5,0,0
44,2024-08-29,117.5462341,453023300,8/28/24 16:20,0,8,3,3,2024,0,0,0.037246815,-0.063848466,3125.649337,NVDA,0.08869547,8,1,1.848721013
45,2024-08-30,119.3255768,333751600,8/28/24 16:20,1,8,4,3,2024,0,0,0.036176784,0.015137385,3172.963495,NVDA,0.716953218,1,0,0
46,2024-09-09,106.4303741,273912000,8/28/24 16:20,11,9,0,3,2024,0,0,0.038503826,0.035398268,2830.069639,NVDA,0.744702533,4,0,0
47,2024-09-11,116.8664932,441422400,8/28/24 16:20,13,9,2,3,2024,0,0,0.046143681,0.08149872,3107.574477,NVDA,-1,1,0,0
48,2024-09-12,119.1058502,366052700,8/28/24 16:20,14,9,3,3,2024,0,0,0.045652186,0.019161668,3167.120789,NVDA,1,1,0,0
49,2024-09-13,119.0658493,238358300,8/28/24 16:20,15,9,4,3,2024,0,0,0.043603334,-0.000335843,3166.057132,NVDA,0.939311802,2,0,0
50,2024-09-16,116.7465134,248772300,8/28/24 16:20,18,9,0,3,2024,0,0,0.043517617,-0.019479439,3104.384115,NVDA,1,1,0,0
51,2024-09-17,115.5568619,231925900,8/28/24 16:20,19,9,1,3,2024,0,0,0.043173502,-0.010190039,3072.750321,NVDA,1,1,0,0
52,2024-09-18,113.3374939,310318900,8/28/24 16:20,20,9,2,3,2024,0,0,0.043130793,-0.019205852,3013.735533,NVDA,0.917056382,1,0,0
53,2024-09-24,120.83535,354966800,8/28/24 16:20,26,9,1,3,2024,0,0,0.031842764,0.039652455,3213.109586,NVDA,0.876622558,2,0,0
54,2024-09-25,123.4745941,284692900,8/28/24 16:20,27,9,2,3,2024,0,0,0.032005618,0.021841655,3283.289219,NVDA,0.811825573,2,0,0
55,2024-09-27,121.3652039,271009200,8/28/24 16:20,29,9,4,3,2024,0,0,0.029222978,-0.021283403,3227.198827,NVDA,1,1,0,0
56,2024-09-30,121.4051895,226553700,8/28/24 16:20,32,9,0,3,2024,1,0,0.029280288,0.000329466,3228.262078,NVDA,0.88711068,2,0,0
57,2024-10-01,116.9664536,302094500,8/28/24 16:20,33,10,1,4,2024,0,1,0.02305176,-0.036561336,3110.232503,NVDA,0.899722248,2,0,0
58,2024-10-03,122.8147812,277118000,8/28/24 16:20,35,10,3,4,2024,0,0,0.024553857,0.033655823,3265.74426,NVDA,0.911383122,2,0,0
59,2024-10-07,127.6833878,346250200,8/28/24 16:20,39,10,0,4,2024,0,0,0.023950609,0.022414383,3395.204442,NVDA,0.856013983,2,0,0
60,2024-10-08,132.8518982,285722500,8/28/24 16:20,40,10,1,4,2024,0,0,0.024157898,0.040479114,3532.63931,NVDA,0.76662451,2,0,0
61,2024-10-11,134.7613678,170209500,8/28/24 16:20,43,10,4,4,2024,0,0,0.021989277,-7.42E-05,3583.41365,NVDA,0.849987924,1,0,0
62,2024-10-14,138.0304413,232347700,8/28/24 16:20,46,10,0,4,2024,0,0,0.020790357,0.024258239,3670.340955,NVDA,1,0,0,0
63,2024-10-16,135.6811066,264879700,8/28/24 16:20,48,10,2,4,2024,0,0,0.02629471,0.031306998,3607.870247,NVDA,0.148819109,3,0,0
64,2024-10-18,137.960434,176090200,8/28/24 16:20,50,10,4,4,2024,0,0,0.024905993,0.007814165,3668.479404,NVDA,0.833875209,2,0,0
65,2024-10-21,143.668808,264554500,8/28/24 16:20,53,10,0,4,2024,0,0,0.022412774,0.041376892,3820.269681,NVDA,0.905559242,1,0,0
66,2024-10-22,143.5488434,226311600,8/28/24 16:20,54,10,1,4,2024,0,0,0.022806254,-0.000835008,3817.079726,NVDA,0.89337039,3,0,0
67,2024-10-23,139.519989,285930000,8/28/24 16:20,55,10,2,4,2024,0,0,0.024578184,-0.028066087,3709.949233,NVDA,1,1,0,0
68,2024-10-24,140.369751,172354900,8/28/24 16:20,56,10,3,4,2024,0,0,0.024496497,0.006090611,3732.54509,NVDA,1,1,0,0
69,2024-10-25,141.4994202,205122100,8/28/24 16:20,57,10,4,4,2024,0,0,0.024174981,0.008047811,3762.583906,NVDA,0.842289925,1,0,0
70,2024-10-28,140.4797211,173586700,8/28/24 16:20,60,10,0,4,2024,0,0,0.022492691,-0.007206384,3735.469284,NVDA,1,1,0,0
71,2024-10-29,141.2095032,157593600,8/28/24 16:20,61,10,1,4,2024,0,0,0.022425855,0.005194928,3754.874779,NVDA,0.888803542,1,0,0
72,2024-10-30,139.3000488,179418100,8/28/24 16:20,62,10,2,4,2024,0,0,0.022658433,-0.013522138,3704.100845,NVDA,0.909249008,2,0,0
73,2024-11-04,136.0110016,187528200,8/28/24 16:20,67,11,0,4,2024,0,0,0.022425304,0.004800569,3616.642422,NVDA,0.77442652,1,0,0
74,2024-11-06,145.5682526,242043900,8/28/24 16:20,69,11,2,4,2024,0,0,0.024388163,0.040740465,3870.777447,NVDA,1,1,0,0
75,2024-11-11,145.2183533,182325600,8/28/24 16:20,74,11,0,4,2024,0,0,0.023338243,-0.016053669,3861.473342,NVDA,0.908400476,0,0,0
76,2024-11-12,148.247467,198634700,8/28/24 16:20,75,11,1,4,2024,0,0,0.022277068,0.020859028,3942.019925,NVDA,0.884579122,2,0,0
77,2024-11-13,146.2280731,191903300,8/28/24 16:20,76,11,2,4,2024,0,0,0.022790928,-0.013621777,3888.322609,NVDA,-0.06377694,2,0,0
78,2024-11-15,141.9392853,250132900,8/28/24 16:20,78,11,4,4,2024,0,0,0.024547799,-0.032570158,3774.280275,NVDA,1,1,0,0
79,2024-11-18,140.1098022,221205300,8/28/24 16:20,81,11,0,4,2024,0,0,0.024785831,-0.012889194,3725.632843,NVDA,0.873568535,1,0,0
80,2024-11-19,146.9678497,227834900,8/28/24 16:20,82,11,1,4,2024,0,0,0.027672082,0.048947664,3907.993867,NVDA,0.868791163,1,0,0
81,2024-11-20,145.848175,309871700,8/28/24 16:20,83,11,2,4,2024,0,0,0.023759745,-0.007618501,3878.220812,NVDA,0.848258555,2,0,0
82,2024-11-21,146.6279602,400946600,11/20/24 16:20,0,11,3,4,2024,0,0,0.02347007,0.005346554,3898.95593,NVDA,0.805121124,2,0,0
83,2024-11-22,141.9093018,236406200,11/20/24 16:20,1,11,4,4,2024,0,0,0.02559776,-0.032181164,3773.482989,NVDA,-1,1,0,0
84,2024-11-25,135.9810028,344941900,11/20/24 16:20,4,11,0,4,2024,0,0,0.027139711,-0.041775267,3615.84473,NVDA,0.203509669,3,0,0
85,2024-11-26,136.8807526,190287700,11/20/24 16:20,5,11,1,4,2024,0,0,0.024435249,0.006616731,3639.769803,NVDA,1,1,0,0
86,2024-11-29,138.2103729,141863200,11/20/24 16:20,8,11,4,4,2024,0,0,0.024412818,0.021501508,3675.125483,NVDA,1,1,0,0
87,2024-12-03,140.2198029,164414000,11/20/24 16:20,12,12,1,4,2024,0,0,0.023663487,0.011758021,3728.557848,NVDA,0.915053695,2,0,0
88,2024-12-04,145.0984039,231224300,11/20/24 16:20,13,12,2,4,2024,0,0,0.025564659,0.034792526,3858.283792,NVDA,0.837071627,2,0,0
89,2024-12-06,142.4089813,188505600,11/20/24 16:20,15,12,4,4,2024,0,0,0.024412801,-0.018061499,3786.769872,NVDA,0.844402105,2,0,0
90,2024-12-09,138.7797546,189308600,11/20/24 16:20,18,12,0,4,2024,0,0,0.025165134,-0.025484535,3690.265803,NVDA,0.142660558,3,0,0
91,2024-12-10,135.0405884,210020900,11/20/24 16:20,19,12,1,4,2024,0,0,0.021648379,-0.026943168,3590.838351,NVDA,1,1,0,0
92,2024-12-12,137.3100891,159211400,11/20/24 16:20,21,12,3,4,2024,0,0,0.023843706,-0.014141037,3651.186209,NVDA,1,1,0,0
93,2024-12-13,134.2207642,231514900,11/20/24 16:20,22,12,4,4,2024,0,0,0.023105357,-0.022498893,3569.038562,NVDA,0.501072943,1,0,0
94,2024-12-16,131.9712372,237951100,11/20/24 16:20,25,12,0,4,2024,0,0,0.020787241,-0.016759903,3509.221823,NVDA,1,1,0,0
95,2024-12-17,130.3616028,259410300,11/20/24 16:20,26,12,1,4,2024,0,0,0.020799925,-0.012196858,3466.420343,NVDA,0.81831634,1,0,0
96,2024-12-18,128.8819275,277444500,11/20/24 16:20,27,12,2,4,2024,0,0,0.020794208,-0.011350545,3427.074582,NVDA,0.959960043,2,0,0
97,2024-12-20,134.6706543,306528600,11/20/24 16:20,29,12,4,4,2024,0,0,0.022169142,0.030762249,3581.001505,NVDA,-0.103083491,2,0,0
98,2024-12-23,139.6395721,176053500,11/20/24 16:20,32,12,0,4,2024,0,0,0.024271901,0.036896812,3713.129045,NVDA,0.75132527,3,0,0
99,2024-12-24,140.1894684,105157000,11/20/24 16:20,33,12,1,4,2024,0,0,0.022177761,0.003937969,3727.75123,NVDA,1,1,0,0
100,2025-01-02,138.2798767,198247200,11/20/24 16:20,42,1,3,1,2025,0,0,0.020874755,0.029935175,3676.973645,NVDA,0.9158777,1,0,0
101,2025-01-06,149.3974457,265377400,11/20/24 16:20,46,1,0,1,2025,0,0,0.023599851,0.034332306,3972.598786,NVDA,0.892805785,2,0,0
102,2025-01-07,140.1094666,351782200,11/20/24 16:20,47,1,1,1,2025,0,0,0.02961042,-0.062169598,3725.623917,NVDA,0.74243474,2,0,0
103,2025-01-08,140.079483,227349900,11/20/24 16:20,48,1,2,1,2025,0,0,0.029255695,-0.000214001,3724.826631,NVDA,0.862830818,1,0,0
104,2025-01-10,135.8804169,207602500,11/20/24 16:20,50,1,4,1,2025,0,0,0.030481182,-0.029976311,3613.170069,NVDA,0.8602102,1,0,0
105,2025-01-14,131.7312927,195590500,11/20/24 16:20,54,1,1,1,2025,0,0,0.029980217,-0.011033672,3502.841506,NVDA,1,1,0,0
106,2025-01-15,136.2103424,185217300,11/20/24 16:20,55,1,2,1,2025,0,0,0.02970626,0.03400141,3621.943055,NVDA,0.660973191,1,0,0
107,2025-01-16,133.5409088,209235600,11/20/24 16:20,56,1,3,1,2025,0,0,0.030047235,-0.019597877,3550.960659,NVDA,1,2,0,0
108,2025-01-21,140.7993317,197749000,11/20/24 16:20,61,1,1,1,2025,0,0,0.031401095,0.02265633,3743.967987,NVDA,1,1,0,0
109,2025-01-24,142.5889282,234657600,11/20/24 16:20,64,1,4,1,2025,0,0,0.033153251,-0.031245863,3791.554806,NVDA,0.865405381,1,0,0
110,2025-01-27,118.3942032,818830900,11/20/24 16:20,67,1,0,1,2025,0,0,0.054757435,-0.169681653,3148.197519,NVDA,0.246080905,6,1,1.936456714
111,2025-01-28,128.9619141,579666400,11/20/24 16:20,68,1,1,1,2025,0,0,0.060086707,0.089258685,3429.201489,NVDA,0.922881007,1,0,0
112,2025-01-29,123.6730576,467120600,11/20/24 16:20,69,1,2,1,2025,0,0,0.058891798,-0.041010996,3288.566522,NVDA,-0.168159604,2,0,0
113,2025-01-30,124.6228561,392925500,11/20/24 16:20,70,1,3,1,2025,0,0,0.059001104,0.007679915,3313.822434,NVDA,0.945909758,3,0,0
114,2025-01-31,120.0438538,388161100,11/20/24 16:20,71,1,4,1,2025,1,0,0.059234617,-0.036742878,3192.063061,NVDA,0.934522003,2,0,0
115,2025-02-03,116.6345978,371235700,11/20/24 16:20,74,2,0,1,2025,0,0,0.059422248,-0.028400088,3101.40819,NVDA,-1,2,0,0
116,2025-02-04,118.6241608,256550000,11/20/24 16:20,75,2,1,1,2025,0,0,0.059774255,0.017058086,3154.312277,NVDA,0,2,0,0
117,2025-02-05,124.8028183,262230800,11/20/24 16:20,76,2,2,1,2025,0,0,0.060883181,0.052085996,3318.607773,NVDA,1,1,0,0
118,2025-02-06,128.6519623,251483600,11/20/24 16:20,77,2,3,1,2025,0,0,0.061404903,0.030841803,3420.959621,NVDA,0.253715456,4,0,0
119,2025-02-10,133.5409088,216989100,11/20/24 16:20,81,2,0,1,2025,0,0,0.06102104,0.028727781,3550.960659,NVDA,0.905214091,3,0,0
120,2025-02-11,132.7710876,178902400,11/20/24 16:20,82,2,1,1,2025,0,0,0.059551837,-0.005764684,3530.490493,NVDA,0.851779759,1,0,0
121,2025-02-14,138.8197632,195479600,11/20/24 16:20,85,2,4,1,2025,0,0,0.035721849,0.026313919,3691.329662,NVDA,-0.044558436,2,0,0
122,2025-02-18,139.3696442,219176600,11/20/24 16:20,89,2,1,1,2025,0,0,0.027965933,0.003961115,3705.951442,NVDA,0.516594291,6,1,1.352205783
123,2025-02-21,134.4007111,228217600,11/20/24 16:20,92,2,4,1,2025,0,0,0.025214884,-0.040539641,3573.823496,NVDA,0.92727226,2,0,0
124,2025-02-24,130.2516327,251381100,11/20/24 16:20,95,2,0,1,2025,0,0,0.025499293,-0.030870955,3463.49615,NVDA,0,2,0,0
125,2025-02-25,126.6024246,271428700,11/20/24 16:20,96,2,1,1,2025,0,0,0.027093288,-0.028016601,3366.460759,NVDA,1,2,0,0
126,2025-02-26,131.2514191,322553800,11/20/24 16:20,97,2,2,1,2025,0,0,0.025290439,0.036721212,3490.081277,NVDA,0.95101124,2,0,0
127,2025-03-03,114.0351563,411381400,2/26/25 16:20,4,3,0,1,2025,0,0,0.040639274,-0.086935646,3032.286939,NVDA,-0.178937882,2,0,0
128,2025-03-11,108.7363129,354865700,2/26/25 16:20,12,3,1,1,2025,0,0,0.043101507,0.016638671,2891.386412,NVDA,0.90924263,1,0,0
129,2025-03-12,115.725441,323857500,2/26/25 16:20,13,3,2,1,2025,0,0,0.047979504,0.064275934,3077.232976,NVDA,-1,1,0,0
130,2025-03-13,115.5654602,299033100,2/26/25 16:20,14,3,3,1,2025,0,0,0.047354053,-0.001382417,3072.978958,NVDA,-1,1,0,0
131,2025-03-14,121.6546936,277593500,2/26/25 16:20,15,3,4,1,2025,0,0,0.049684412,0.052690773,3234.896594,NVDA,0,1,0,0
132,2025-03-17,119.5149612,255501500,2/26/25 16:20,18,3,0,1,2025,0,0,0.049368921,-0.017588572,3177.999381,NVDA,0.706897974,1,0,0
133,2025-03-18,115.4154739,299686900,2/26/25 16:20,19,3,1,1,2025,0,0,0.048622087,-0.034301039,3068.990702,NVDA,0.937507868,2,0,0
134,2025-03-20,118.5150833,248829700,2/26/25 16:20,21,3,3,1,2025,0,0,0.042203856,0.008594343,3151.411819,NVDA,0.864379168,1,0,0
135,2025-03-26,113.7456894,293463300,2/26/25 16:20,27,3,2,1,2025,0,0,0.035396359,-0.057419854,3024.589782,NVDA,-1,1,0,0
136,2025-03-28,109.6561966,229872500,2/26/25 16:20,29,3,4,1,2025,0,0,0.03286928,-0.015794691,2915.846864,NVDA,0.78044492,2,0,0
137,2025-03-31,108.3663635,299212700,2/26/25 16:20,32,3,0,1,2025,1,0,0.032791288,-0.011762519,2881.54916,NVDA,0.668590248,1,0,0
138,2025-04-02,110.406105,220601200,2/26/25 16:20,34,4,2,2,2025,0,0,0.027736585,0.002451134,2935.787535,NVDA,0.98152788,4,0,0
139,2025-04-07,97.62770844,611041300,2/26/25 16:20,39,4,0,2,2025,0,0,0.035985113,0.035309019,2595.999645,NVDA,0.265538792,3,0,0
140,2025-04-09,114.3156128,612918300,2/26/25 16:20,41,4,2,2,2025,0,0,0.064117143,0.187227342,3039.744505,NVDA,-1,1,0,0
141,2025-04-14,110.6960678,264705000,2/26/25 16:20,46,4,0,2,2025,0,0,0.065982276,-0.001983218,2943.49788,NVDA,1,1,0,0
142,2025-04-16,104.4768524,397016900,2/26/25 16:20,48,4,2,2,2025,0,0,0.066759965,-0.06871658,2778.123918,NVDA,0.556799531,1,0,0
143,2025-05-01,111.5959549,236121500,2/26/25 16:20,63,5,3,2,2025,0,1,0.033645004,0.024697003,2967.426604,NVDA,1,1,0,0
144,2025-05-05,113.8056793,133163200,2/26/25 16:20,67,5,0,2,2025,0,0,0.033391338,-0.005938881,3026.184962,NVDA,0.855302006,2,0,0
145,2025-05-06,113.5257187,158525600,2/26/25 16:20,68,5,1,2,2025,0,0,0.033260449,-0.002459988,3018.740583,NVDA,-1,1,0,0
146,2025-05-07,117.0452728,206758800,2/26/25 16:20,69,5,2,2,2025,0,0,0.027227397,0.031002263,3112.328371,NVDA,-0.193561286,2,0,0
147,2025-05-09,116.6353226,132972200,2/26/25 16:20,71,5,4,2,2025,0,0,0.0201396,-0.006134513,3101.427462,NVDA,0.614674926,1,0,0
148,2025-05-12,122.9845276,225023300,2/26/25 16:20,74,5,0,2,2025,0,0,0.022899234,0.054436382,3270.257954,NVDA,0.892150283,1,0,0
149,2025-05-13,129.9136505,330430100,2/26/25 16:20,75,5,1,2,2025,0,0,0.024669767,0.05634142,3454.508931,NVDA,0.802687556,2,0,0
150,2025-05-14,135.3229675,281180800,2/26/25 16:20,76,5,2,2,2025,0,0,0.025030839,0.041637788,3598.34704,NVDA,0.908728302,1,0,0
151,2025-05-15,134.8130341,226632600,2/26/25 16:20,77,5,3,2,2025,0,0,0.024491988,-0.00376827,3584.787497,NVDA,1,1,0,0
152,2025-05-16,135.3829651,226542500,2/26/25 16:20,78,5,4,2,2025,0,0,0.022607503,0.004227566,3599.942424,NVDA,0.753743172,3,0,0
153,2025-05-19,135.552948,193154600,2/26/25 16:20,81,5,0,2,2025,0,0,0.022674703,0.001255571,3604.462407,NVDA,0.836252913,4,0,0
154,2025-05-20,134.3630981,161514200,2/26/25 16:20,82,5,1,2,2025,0,0,0.023214663,-0.00877775,3572.823338,NVDA,0.687658191,1,0,0
155,2025-05-21,131.7834167,270608700,2/26/25 16:20,83,5,2,2,2025,0,0,0.024769133,-0.01919933,3504.227525,NVDA,0.684262216,1,0,0
156,2025-05-22,132.8132935,187344000,2/26/25 16:20,84,5,3,2,2025,0,0,0.024471229,0.007814919,3531.612779,NVDA,0.747634009,2,0,0
157,2025-05-23,131.2734833,198821300,2/26/25 16:20,85,5,4,2,2025,0,0,0.024815418,-0.011593796,3490.667982,NVDA,0.891228616,1,0,0
158,2025-05-27,135.4829407,192953600,2/26/25 16:20,89,5,1,2,2025,0,0,0.025138598,0.032066319,3602.600856,NVDA,1,3,0,0
159,2025-05-29,139.1725006,369241900,5/28/25 16:20,0,5,3,2,2025,0,0,0.025553054,0.032490219,3700.709235,NVDA,0.973475128,2,0,0
160,2025-05-30,135.1130066,333170900,5/28/25 16:20,1,5,4,2,2025,0,0,0.027514924,-0.029168794,3592.76401,NVDA,0.852369606,1,0,0
161,2025-06-02,137.3627167,197663100,5/28/25 16:20,4,6,0,2,2025,0,0,0.024617023,0.016650581,3652.585618,NVDA,0.888598323,1,0,0
162,2025-06-04,141.9021454,167120800,5/28/25 16:20,6,6,2,2,2025,0,0,0.01869034,0.004956867,3773.292695,NVDA,0.857975721,2,0,0
163,2025-06-09,142.6120605,185114500,5/28/25 16:20,11,6,0,2,2025,0,0,0.019337083,0.006421192,3792.169913,NVDA,0.902309299,1,0,0
164,2025-06-10,143.9418945,155881900,5/28/25 16:20,12,6,1,2,2025,0,0,0.019033795,0.009324835,3827.531273,NVDA,0.919039369,1,0,0
165,2025-06-16,144.681839,183133700,5/28/25 16:20,18,6,0,2,2025,0,0,0.018073411,0.019158992,3847.206994,NVDA,0.705270469,1,0,0
166,2025-06-20,143.8418884,242956200,5/28/25 16:20,22,6,4,2,2025,0,0,0.014091139,-0.011204221,3824.87203,NVDA,0.55290252,1,0,0
167,2025-06-30,157.9810944,194580300,5/28/25 16:20,32,6,0,2,2025,1,0,0.016452734,0.001521419,4200.84494,NVDA,0.895497262,1,0,0
168,2025-07-11,164.9107056,193633300,5/28/25 16:20,43,7,4,3,2025,0,0,0.017095933,0.004996907,4385.1089,NVDA,0.916903198,1,0,0
169,2025-07-15,170.6903687,230627400,5/28/25 16:20,47,7,1,3,2025,0,0,0.018889607,0.040409469,4538.794811,NVDA,0.904388135,11,1,6.956185762
170,2025-07-16,171.3603363,158831500,5/28/25 16:20,48,7,2,3,2025,0,0,0.016382608,0.003925047,4556.609793,NVDA,0.874416411,1,0,0
171,2025-07-18,172.4002838,146456400,5/28/25 16:20,50,7,4,3,2025,0,0,0.016379087,-0.003410399,4584.262837,NVDA,0.904701084,2,0,0
172,2025-07-21,171.3703461,123126100,5/28/25 16:20,53,7,0,3,2025,0,0,0.016673897,-0.005974107,4556.87596,NVDA,0.192503095,3,0,0
