date,open,high,low,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,time_idx,unique_id
5/26/23,184.6199951,198.6000061,184.5299988,193.1699982,162061500,2023-04-19 16:07:00-04:00,36,5,4,2,2023,0,0,9.000747159,0.047162123,121.2871241,214,TSLA
5/30/23,200.1000061,204.4799957,197.5299988,201.1600037,128818700,2023-04-19 16:07:00-04:00,40,5,1,2,2023,0,0,9.869991421,0.041362559,126.30387,215,TSLA
5/31/23,199.7799988,203.9499969,195.1199951,203.9299927,150711700,2023-04-19 16:07:00-04:00,41,5,2,2,2023,1,0,9.861353838,0.013770078,128.0430842,216,TSLA
6/1/23,202.5899963,209.8000031,199.3699951,207.5200043,148029900,2023-04-19 16:07:00-04:00,42,6,3,2,2023,0,1,10.55419379,0.017604137,130.2971722,217,TSLA
6/2/23,210.1499939,217.25,209.75,213.9700012,164398400,2023-04-19 16:07:00-04:00,43,6,4,2,2023,0,0,11.69981095,0.031081326,134.3469811,218,TSLA
6/5/23,217.8000031,221.2899933,214.5200043,217.6100006,151143100,2023-04-19 16:07:00-04:00,46,6,0,2,2023,0,0,12.66080585,0.017011728,136.6324554,219,TSLA
6/6/23,216.1399994,221.9100037,212.5299988,221.3099976,146911600,2023-04-19 16:07:00-04:00,47,6,1,2,2023,0,0,14.14808639,0.017002881,138.9556008,220,TSLA
6/7/23,228,230.8300018,223.1999969,224.5700073,185710800,2023-04-19 16:07:00-04:00,48,6,2,2,2023,0,0,14.75924571,0.014730513,141.0024881,221,TSLA
6/8/23,224.2200012,235.2299957,223.0099945,234.8600006,164489700,2023-04-19 16:07:00-04:00,49,6,3,2,2023,0,0,15.22937226,0.045820871,147.4633448,222,TSLA
6/9/23,249.0700073,252.4199982,242.0200043,244.3999939,200242400,2023-04-19 16:07:00-04:00,50,6,4,2,2023,0,0,15.73749328,0.040619915,153.4532934,223,TSLA
6/12/23,247.9400024,250.9700012,244.5899963,249.8300018,150337900,2023-04-19 16:07:00-04:00,53,6,0,2,2023,0,0,16.6763728,0.022217709,156.862674,224,TSLA
6/13/23,253.5099945,259.6799927,251.3399963,258.7099915,162384300,2023-04-19 16:07:00-04:00,54,6,1,2,2023,0,0,18.54333951,0.035544128,162.438221,225,TSLA
6/14/23,260.1700134,261.5700073,250.5,256.7900085,170575500,2023-04-19 16:07:00-04:00,55,6,2,2,2023,0,0,18.55790384,-0.007421371,161.2327066,226,TSLA
6/15/23,248.3999939,258.9500122,247.2899933,255.8999939,160171200,2023-04-19 16:07:00-04:00,56,6,3,2,2023,0,0,17.46374009,-0.003465924,160.6738863,227,TSLA
6/16/23,258.9200134,263.6000061,257.2099915,260.5400085,167915600,2023-04-19 16:07:00-04:00,57,6,4,2,2023,0,0,16.59206061,0.018132141,163.5872478,228,TSLA
6/20/23,261.5,274.75,261.1199951,274.4500122,165611200,2023-04-19 16:07:00-04:00,61,6,1,2,2023,0,0,16.86988569,0.053389127,172.3210282,229,TSLA
6/21/23,275.1300049,276.9899902,257.7799988,259.4599915,211797100,2023-04-19 16:07:00-04:00,62,6,2,2,2023,0,0,14.23763963,-0.054618401,162.9091292,230,TSLA
