impact_trading_day,post_count,smoothed,spike_presence,spike_intensity,loess_upper
2024-12-12,1,1.2631436600057628,0,0.0,3.997704451600296
2024-12-13,1,1.0941115394327148,0,0.0,3.828672331027248
2024-12-16,1,1.1869467938493186,0,0.0,3.9215075854438517
2024-12-17,1,1.4258631914576065,0,0.0,4.16042398305214
2024-12-18,2,1.6826649878385578,0,0.0,4.417225779433091
2024-12-20,2,1.7620040657835077,0,0.0,4.496564857378041
2024-12-23,3,1.7397771495857615,0,0.0,4.474337941180295
2024-12-24,1,1.7198497077866424,0,0.0,4.454410499381176
2025-01-02,1,1.6355964170835122,0,0.0,4.370157208678045
2025-01-06,2,1.5358292035612253,0,0.0,4.2703899951557585
2025-01-07,2,1.5733997174593466,0,0.0,4.3079605090538795
2025-01-08,1,1.5553573210885911,0,0.0,4.289918112683124
2025-01-09,2,1.398301068735467,0,0.0,4.13286186033
2025-01-10,1,1.2757883793539588,0,0.0,4.010349170948492
2025-01-14,1,1.2635576604562326,0,0.0,3.9981184520507655
2025-01-15,1,1.2190158331880718,0,0.0,3.953576624782605
2025-01-16,2,1.1969636667340673,0,0.0,3.9315244583286004
2025-01-21,1,1.1862452755698678,0,0.0,3.920806067164401
2025-01-24,1,1.2043523969206928,0,0.0,3.938913188515226
2025-01-27,6,1.3289824939536723,1,1.9364567144517943,4.063543285548206
2025-01-28,1,1.5637809523486952,0,0.0,4.2983417439432285
2025-01-29,2,1.8019731055200139,0,0.0,4.536533897114547
2025-01-30,3,2.0084486041587266,0,0.0,4.74300939575326
2025-01-31,2,2.097179597891369,0,0.0,4.831740389485902
2025-02-03,2,2.017802978040811,0,0.0,4.752363769635345
2025-02-04,2,2.0284167542501765,0,0.0,4.762977545844709
2025-02-05,1,2.1493284054257984,0,0.0,4.8838891970203315
2025-02-06,4,2.1037859213272356,0,0.0,4.838346712921769
2025-02-10,3,2.1109824411328955,0,0.0,4.845543232727429
2025-02-11,1,2.1395343389996717,0,0.0,4.874095130594204
2025-02-14,2,2.0191903482623617,0,0.0,4.753751139856895
2025-02-18,6,1.913233425647002,1,1.3522057827584648,4.647794217241535
2025-02-21,2,1.9513301432221122,0,0.0,4.685890934816645
2025-02-24,2,1.9999999999999931,0,0.0,4.734560791594526
2025-02-25,2,1.9647023365617364,0,0.0,4.69926312815627
2025-02-26,2,1.8130673884615676,0,0.0,4.547628180056101
2025-03-03,2,1.6070938888849788,0,0.0,4.341654680479512
2025-03-11,1,1.392780611988749,0,0.0,4.127341403583282
2025-03-12,1,1.1866799296718904,0,0.0,3.9212407212664235
2025-03-13,1,1.0762890008290846,0,0.0,3.8108497924236175
2025-03-14,1,1.1302611527986905,0,0.0,3.8648219443932237
2025-03-17,1,1.184244215046804,0,0.0,3.918805006641337
2025-03-18,2,1.2340880907009701,0,0.0,3.9686488822955033
2025-03-20,1,1.3322714341110666,0,0.0,4.0668322257056
2025-03-26,1,1.3736203370469844,0,0.0,4.108181128641517
2025-03-28,2,1.4938264901968485,0,0.0,4.228387281791382
2025-03-31,1,1.7066345711298863,0,0.0,4.44119536272442
2025-04-02,4,1.6692829602435386,0,0.0,4.403843751838072
2025-04-07,3,1.5711619892115127,0,0.0,4.305722780806046
2025-04-09,1,1.5301745760822247,0,0.0,4.264735367676758
2025-04-14,1,1.3064532180947257,0,0.0,4.041014009689259
2025-04-16,1,1.1853379172656153,0,0.0,3.9198987088601482
2025-05-01,1,1.2334648270322124,0,0.0,3.9680256186267453
2025-05-05,2,1.3430672121965908,0,0.0,4.077628003791124
2025-05-06,1,1.3906790803647031,0,0.0,4.125239871959236
2025-05-07,2,1.3832698529924419,0,0.0,4.1178306445869755
2025-05-09,1,1.3727515803304862,0,0.0,4.107312371925019
2025-05-12,1,1.333352246813726,0,0.0,4.067913038408259
2025-05-13,2,1.3027042352424698,0,0.0,4.037265026837003
2025-05-14,1,1.4642465259543969,0,0.0,4.19880731754893
2025-05-15,1,1.5814866377547077,0,0.0,4.316047429349241
2025-05-16,3,1.4521791847937036,0,0.0,4.186739976388237
2025-05-19,4,1.4532326097198964,0,0.0,4.18779340131443
2025-05-20,1,1.5187567046980504,0,0.0,4.253317496292583
2025-05-21,1,1.378942791884476,0,0.0,4.113503583479009
2025-05-22,2,1.4952918648366451,0,0.0,4.229852656431178
2025-05-23,1,1.6837568890796555,0,0.0,4.418317680674189
2025-05-27,3,1.687406886919874,0,0.0,4.421967678514407
2025-05-29,2,1.6233599901328215,0,0.0,4.357920781727355
2025-05-30,1,1.5749435419420212,0,0.0,4.309504333536554
2025-06-02,1,1.4007328391226002,0,0.0,4.1352936307171335
2025-06-04,2,1.2383502173814294,0,0.0,3.9729110089759625
2025-06-09,1,1.1862989245896811,0,0.0,3.9208597161842142
2025-06-10,1,1.1312371402389085,0,0.0,3.8657979318334417
2025-06-16,1,1.036467871067984,0,0.0,3.771028662662517
2025-06-20,1,0.9999999999999996,0,0.0,3.7345607915945327
2025-06-30,1,1.0,0,0.0,3.734560791594533
2025-07-11,1,1.0767374080935845,0,0.0,3.8112981996881174
2025-07-15,11,1.3092534464263976,1,6.95618576197907,4.04381423802093
2025-07-16,1,1.7192548507609886,0,0.0,4.453815642355522
2025-07-18,2,2.115090328232814,0,0.0,4.849651119827348
2025-07-21,3,2.542173059889188,0,0.0,5.276733851483721
