impact_trading_day,post_count,smoothed,spike_presence,spike_intensity,loess_upper
2024-10-04,2,1.8104405420662444,0,0.0,4.779335281477424
2024-10-07,2,1.7875152966797916,0,0.0,4.756410036090971
2024-10-08,1,1.9025431932161014,0,0.0,4.8714379326272805
2024-10-10,1,1.9947634838855848,0,0.0,4.963658223296765
2024-10-11,6,2.058171689999097,1,0.9729335705897233,5.027066429410277
2024-10-15,6,2.2456788688409004,1,0.7854263917479205,5.2145736082520795
2024-10-16,2,2.502926634446202,0,0.0,5.471821373857381
2024-10-17,2,2.654072615245314,0,0.0,5.6229673546564936
2024-10-18,4,2.566356498429922,0,0.0,5.535251237841102
2024-10-21,2,2.577270422754116,0,0.0,5.546165162165296
2024-10-22,2,2.560987791528352,0,0.0,5.529882530939531
2024-10-23,3,2.4990170446343902,0,0.0,5.46791178404557
2024-10-24,6,2.4412828012010377,1,0.5898224593877828,5.410177540612217
2024-10-25,1,2.4454268236486842,0,0.0,5.414321563059864
2024-10-28,3,2.3578572511458558,0,0.0,5.326751990557035
2024-10-29,2,2.147553040072568,0,0.0,5.116447779483748
2024-10-30,3,2.002100772515189,0,0.0,4.970995511926368
2024-11-01,1,2.0548615941433708,0,0.0,5.02375633355455
2024-11-04,1,2.128313081369258,0,0.0,5.097207820780437
2024-11-07,2,2.123334175477647,0,0.0,5.0922289148888265
2024-11-08,4,2.140037011885083,0,0.0,5.108931751296263
2024-11-12,3,2.2764459865566833,0,0.0,5.245340725967862
2024-11-13,1,2.3716289158202923,0,0.0,5.340523655231472
2024-11-15,2,2.2833763128365394,0,0.0,5.252271052247719
2024-11-18,3,2.092888986435487,0,0.0,5.0617837258466665
2024-11-19,2,2.0048225864070104,0,0.0,4.97371732581819
2024-11-20,2,1.9166481295611923,0,0.0,4.885542868972372
2024-11-22,1,1.7592721805166947,0,0.0,4.728166919927874
2024-11-25,5,1.6051370298835352,1,0.4259682307052852,4.574031769294715
2024-11-27,1,1.529687307618988,0,0.0,4.498582047030167
2024-12-02,1,1.5406028221369423,0,0.0,4.509497561548121
2024-12-03,2,1.589886837692471,0,0.0,4.558781577103651
2024-12-04,1,1.7090255514035528,0,0.0,4.677920290814733
2024-12-05,3,1.8894522148462132,0,0.0,4.858346954257392
2024-12-06,1,2.062953059968751,0,0.0,5.03184779937993
2024-12-09,3,2.1266991322758653,0,0.0,5.095593871687045
2024-12-10,2,2.1567435658835836,0,0.0,5.125638305294763
2024-12-11,3,2.210802746589964,0,0.0,5.179697486001143
2024-12-12,1,2.2400813401101027,0,0.0,5.208976079521282
2024-12-13,2,2.1340329095773267,0,0.0,5.102927648988507
2024-12-16,5,2.02647818757373,1,0.004627073015090133,4.99537292698491
2024-12-17,2,1.9879865242998085,0,0.0,4.956881263710988
2024-12-19,1,1.9806078010692005,0,0.0,4.94950254048038
